timestamp;all_memory;free_memory;%memory_used;%cpu_used;%disk_used;load_average_1m
2025-10-10 14:34:03;7900;7152;6.56;0.8;1;0.09
2025-10-10 14:44:04;7900;7142;6.68;0.8;1;0.17
2025-10-10 14:54:04;7900;7143;6.67;0.8;1;0.18
